Timestamp,Universidade:,Estou no(a):,Curso:,1. Em que opção você situaria seu conhecimento em R?,2. Você considera ter conhecimento intermediário/avançado em quais linguagens abaixo?,3. Você atua no mercado de trabalho?
9/22/2016 10:10:17,USP,Graduação,Ciências Sociais,Nunca programei em R.,NA,Não.
9/22/2016 10:10:51,USP,Graduação,Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"C ou C++., Java ou C#.",NA
9/22/2016 10:48:56,Usp,Graduação,Matematica aplicada,Nunca programei em R.,"Python, Matlab ou Octave., C ou C++.",Não.
9/22/2016 11:40:02,USP,Graduação,Bacharelado em Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,NA,Não.
9/22/2016 11:45:25,USP,Graduação,Licenciatura em Matemática,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave.","Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/22/2016 11:50:00,IME USP,Graduação,Bacharelado em Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Ruby, PHP ou Javascript., SQL.",Não.
9/22/2016 11:57:53,USP,Graduação,Estatística,"Programo frequentemente em R, mas considero meu conhecimento desatualizado.",C ou C++.,Não.
9/22/2016 12:03:36,USP,Graduação,Bach. Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave., C ou C++., SQL.",Sim e uso o R no trabalho.
9/22/2016 13:20:47,USP,Graduação,Estatística,"Programo frequentemente em R, mas considero meu conhecimento desatualizado.",C ou C++.,Não.
9/22/2016 14:34:45,Universidade Federal de São Paulo,Graduação,Ciências Atuariais,Já usei R para alguma disciplina ou para resolver projetos pontuais.,NA,"Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/22/2016 16:39:29,USP,Graduação,BMAC,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"C ou C++., Java ou C#.","Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/22/2016 23:12:11,IME-USP,Graduação,Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,NA,Não.
9/23/2016 9:30:23,Universidade de São Paulo,Graduação,Saúde Pública,Já usei R para alguma disciplina ou para resolver projetos pontuais.,C ou C++.,Não.
9/23/2016 9:46:49,USP,Graduação,Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave., C ou C++.",Não.
9/23/2016 9:48:11,USP,Graduação,Estatística,Tenho conhecimento avançado e atualizado em R.,"Python, Matlab ou Octave., C ou C++.",Não.
9/23/2016 9:50:37,Universidade de São Paulo - USP,Graduação,Bacharelado em Estatística,Nunca programei em R.,C ou C++.,Não.
9/23/2016 9:50:59,Universidade de São Paulo - USP,Graduação,Bacharelado em Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave., C ou C++., Java ou C#., Ruby, PHP ou Javascript.",Não.
9/23/2016 9:51:11,IME-USP,Graduação,Estatística,Nunca programei em R.,"Python, Matlab ou Octave., C ou C++., SQL.","Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/23/2016 9:52:15,usp,Graduação,estat,Nunca programei em R.,"Python, Matlab ou Octave., C ou C++.",Não.
9/23/2016 9:58:37,USP,Pós Graduação,Bioinformatica,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave.",Não.
9/23/2016 10:15:56,Universidade de São Paulo,Pós Graduação,Bioinformática,"Programo frequentemente em R, mas considero meu conhecimento desatualizado.",NA,Não.
9/23/2016 10:52:24,IME-USP,Graduação,Bacharelado em Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,C ou C++.,Não.
9/23/2016 11:21:22,Universidade de São Paulo,Pós Graduação,Bioinformática,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave.",Não.
9/23/2016 13:33:06,Universidade de São Paulo,Pós Graduação,ESTATÍSTICA,"Programo frequentemente em R, mas considero meu conhecimento desatualizado.",NA,Não.
9/23/2016 14:57:19,Universidade de São Paulo,Graduação,Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave., C ou C++.",Não.
9/23/2016 15:23:03,IME-USP,Graduação,Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,C ou C++.,Não.
9/23/2016 15:23:09,IME - USP,Graduação,Bacharelado em Estatística,Nunca programei em R.,"Python, Matlab ou Octave.",Não.
9/23/2016 15:23:13,usp,Graduação,Estatistica,Nunca programei em R.,C ou C++.,Não.
9/23/2016 15:23:19,IME-USP,Graduação,Estatística,Nunca programei em R.,"Python, Matlab ou Octave.",Não.
9/23/2016 15:29:14,IME - USP,Graduação,Estatística,Nunca programei em R.,"C ou C++., SQL.","Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/23/2016 21:40:03,Usp,Graduação,Estatística,Nunca programei em R.,NA,Não.
9/23/2016 22:49:59,Unip,Mestrado,Eng. de produção,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"C ou C++., SQL.","Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/24/2016 0:23:09,UNICAMP,Graduação,Estatística,Tenho conhecimento avançado e atualizado em R.,"C ou C++., SQL.",Não.
9/24/2016 0:35:38,PUCSP,Graduação,CIÊNCIA ECONOMICA,"Programo frequentemente em R, mas considero meu conhecimento desatualizado.","Python, Matlab ou Octave., C ou C++., SQL.","Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/24/2016 19:01:00,USCS,professora,Escola da Saúde,"Programo frequentemente em R, mas considero meu conhecimento desatualizado.",C ou C++.,Sim e uso o R no trabalho.
9/25/2016 2:35:18,USP,Graduação,Estatística,Nunca programei em R.,C ou C++.,Não.
9/25/2016 19:39:03,USP,Graduação,Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,C ou C++.,"Sim, mas não posso usar o R no trabalho."
9/26/2016 9:25:43,USP,Graduação,Bacharelado em Estatística,Nunca programei em R.,"Python, Matlab ou Octave., C ou C++.",Não.
9/26/2016 9:27:18,IME USP,Graduação,Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave., C ou C++., Java ou C#.",Não.
9/26/2016 10:22:39,usp,Graduação,estatistica,Já usei R para alguma disciplina ou para resolver projetos pontuais.,C ou C++.,Não.
9/26/2016 15:37:24,USP,Graduação,Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave., C ou C++.",Não.
9/26/2016 16:05:16,USP,Graduação,Bacharelado  Matematica Aplicada e Computacional,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"C ou C++., Java ou C#.",Não.
9/26/2016 18:18:14,usp,Graduação,Estatistica,"Programo frequentemente em R, mas considero meu conhecimento desatualizado.","Python, Matlab ou Octave., SQL.",Sim e uso o R no trabalho.
9/26/2016 18:39:49,USP,Graduação,estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,C ou C++.,Não.
9/26/2016 21:32:18,USP,Graduação,Bacharelado em Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,SQL.,Sim e uso o R no trabalho.
9/26/2016 23:05:17,UNIP,Mestrado,Engenharia de Produção,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"C ou C++., SQL.","Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/27/2016 9:24:45,IME-USP,Graduação,Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,C ou C++.,Não.
9/27/2016 9:42:20,IME,Graduação,Estatistica,Nunca programei em R.,"Python, Matlab ou Octave., C ou C++.",Não.
9/27/2016 9:53:05,Usp,Graduação,Estatística,Nunca programei em R.,"Python, Matlab ou Octave.",Não.
9/27/2016 12:18:51,USP,Graduação,Estatistica,Tenho conhecimento avançado e atualizado em R.,"Java ou C#., Ruby, PHP ou Javascript.",Não.
9/27/2016 12:45:01,Universidade de São Paulo,Graduação,Licenciatura em Matemática,Nunca programei em R.,C ou C++.,NA
9/27/2016 12:53:42,Universidade de São Paulo,Graduação,Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave.",Não.
9/27/2016 14:31:12,UFSCar/USP,Pós Graduação,Mestrado em Estatística,Tenho conhecimento avançado e atualizado em R.,NA,Não.
9/27/2016 15:31:59,USP,Pós Graduação,Estatística,"Programo frequentemente em R, mas considero meu conhecimento desatualizado.","Python, Matlab ou Octave.",Não.
9/27/2016 16:23:54,UFSCar,Graduação,Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,NA,Não.
9/27/2016 17:21:57,Faculdade de Saúde Pública - USP,Pós Graduação,Doutorado em Epidemiologia,Já usei R para alguma disciplina ou para resolver projetos pontuais.,SQL.,Não.
9/27/2016 17:48:32,IME USP,Graduação,Estatistica,"Programo frequentemente em R, mas considero meu conhecimento desatualizado.","Python, Matlab ou Octave., C ou C++.",Não.
9/27/2016 18:20:43,Usp,Graduação,Estatística,Nunca programei em R.,C ou C++.,Não.
9/27/2016 18:20:54,IME - USP,Pós Graduação,Ciência da Computação,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave., C ou C++., Java ou C#., Ruby, PHP ou Javascript., SQL.",Não.
9/27/2016 21:12:10,USP,Graduação,Estatística Bacharelado,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave., C ou C++.",Não.
9/27/2016 21:31:16,IME-USP,Graduação,Estatística,Nunca programei em R.,"Python, Matlab ou Octave., C ou C++., Java ou C#., Ruby, PHP ou Javascript., SQL.",Não.
9/28/2016 8:33:15,Unicamp,Graduado,Matemática Aplicada,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave., C ou C++., SQL.",Sim e uso o R no trabalho.
9/28/2016 8:54:10,IME-USP,Graduação,BCC,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave., C ou C++.","Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/28/2016 9:22:02,IME-USP,Recém formado,Licenciatura em Matemática,Já usei R para alguma disciplina ou para resolver projetos pontuais.,C ou C++.,Não.
9/28/2016 10:31:52,USP,Graduação,Bacharelado em Ciências da Computação,Tenho conhecimento avançado e atualizado em R.,"Python, Matlab ou Octave., C ou C++., Java ou C#., Ruby, PHP ou Javascript., SQL.",Sim e uso o R no trabalho.
9/28/2016 12:45:01,USP,Pós Graduação,Mestrado em Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave., C ou C++., SQL.","Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/28/2016 14:16:29,IME - USP,Graduação,Matemática Aplicada e Computacional,Nunca programei em R.,"C ou C++., Java ou C#.",Não.
9/28/2016 14:45:31,IME-USP,Graduação,ESTATÍSTICA,Já usei R para alguma disciplina ou para resolver projetos pontuais.,C ou C++.,"Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/28/2016 16:26:54,USP,Graduação,Estatistica,Já usei R para alguma disciplina ou para resolver projetos pontuais.,C ou C++.,Não.
9/28/2016 16:43:11,USP,Graduação,BCC,Nunca programei em R.,"Python, Matlab ou Octave., C ou C++., Java ou C#.",Não.
9/28/2016 18:52:50,IME-USP,Pós Graduação,Estatística,Tenho conhecimento avançado e atualizado em R.,C ou C++.,Não.
9/28/2016 19:42:18,IME-USP,Graduação,Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,C ou C++.,Não.
9/28/2016 20:15:52,USP,Graduação,Estatística,Nunca programei em R.,"Python, Matlab ou Octave., C ou C++.",Não.
9/29/2016 8:39:58,USP,Pós Graduação,Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave.","Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/29/2016 8:49:49,IME - USP,Graduação,Estatística,Nunca programei em R.,"Python, Matlab ou Octave., C ou C++.",Não.
9/29/2016 9:00:11,IME/USP,Pós Graduação,Estatística,"Programo frequentemente em R, mas considero meu conhecimento desatualizado.",NA,Não.
9/29/2016 9:01:09,IME - USP,Graduação,Estatística,Nunca programei em R.,"Python, Matlab ou Octave., C ou C++.",Não.
9/29/2016 9:36:50,USP,Pós Graduação,Estatística,"Programo frequentemente em R, mas considero meu conhecimento desatualizado.",NA,"Sim, mas não posso usar o R no trabalho."
9/29/2016 10:31:24,UNICAMP,Pós Graduação,ENG ELÉTRICA,"Programo frequentemente em R, mas considero meu conhecimento desatualizado.","Python, Matlab ou Octave., C ou C++., SQL.",Sim e uso o R no trabalho.
9/29/2016 10:50:38,USP,Pós Graduação,Estatística,"Programo frequentemente em R, mas considero meu conhecimento desatualizado.",NA,NA
9/29/2016 10:56:12,USP,Pós Graduação,Sistemas de Informação,Tenho conhecimento avançado e atualizado em R.,"Python, Matlab ou Octave., SQL.",Sim e uso o R no trabalho.
9/29/2016 12:25:58,IME-USP,Graduação,Estatística,Nunca programei em R.,C ou C++.,Não.
9/29/2016 12:54:46,Centro Universitário da FEI,Graduação,Ciência da Computação,Já usei R para alguma disciplina ou para resolver projetos pontuais.,C ou C++.,"Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/29/2016 12:58:59,Ime uso,Pós Graduação,Mat. Aplicada,Já usei R para alguma disciplina ou para resolver projetos pontuais.,C ou C++.,"Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/29/2016 13:40:34,USP,Graduação,Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"C ou C++., SQL.","Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/29/2016 14:26:08,IME - USP,Graduação,Estatística,Nunca programei em R.,"Python, Matlab ou Octave., C ou C++.",Não.
9/29/2016 18:24:41,USP,Graduação,Estatística,Já usei R para alguma disciplina ou para resolver projetos pontuais.,"Python, Matlab ou Octave., C ou C++., SQL.","Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/29/2016 18:25:24,USP,Graduação,Estatistica,"Programo frequentemente em R, mas considero meu conhecimento desatualizado.","Python, Matlab ou Octave., C ou C++., SQL.","Sim, não utilizo o R no trabalho, mas gostaria de usar."
9/29/2016 19:50:32,IME-USP,Graduação,BMAC,Tenho conhecimento avançado e atualizado em R.,"Python, Matlab ou Octave., C ou C++., Java ou C#., SQL.",Sim e uso o R no trabalho.
9/30/2016 7:38:45,IME-USP,Graduação,Bacharelado em Estatística,Tenho conhecimento avançado e atualizado em R.,"Python, Matlab ou Octave., C ou C++.",Não.
9/30/2016 9:10:41,UFMG,NA,Estatística,"Programo frequentemente em R, mas considero meu conhecimento desatualizado.","Python, Matlab ou Octave.",Sim e uso o R no trabalho.
9/30/2016 10:42:54,usp,Graduação,estatística,Nunca programei em R.,C ou C++.,Não.
9/30/2016 10:47:13,IME-USP,Graduação,Estatística,Nunca programei em R.,"Python, Matlab ou Octave.",Não.
9/30/2016 10:47:26,IME - USP,Graduação,Estatística,Nunca programei em R.,"Python, Matlab ou Octave.",Não.
9/30/2016 10:47:30,IME USP,Graduação,Estatística,Nunca programei em R.,"Python, Matlab ou Octave.",Não.
